# pressure[Pa],mean_volume_N2[mol/kg],mean_error_N2[mol/kg],mean_volume_CO2[mol/kg],mean_error_CO2[mol/kg]
1.000000000000000000e+02,2.963999999999999946e-04,2.701199999999999955e-03,1.312800000000000035e-03,5.698100000000000213e-03
2.000000000000000000e+02,6.277000000000000244e-04,3.935899999999999989e-03,2.436199999999999911e-03,7.783700000000000167e-03
5.000000000000000000e+02,1.646600000000000017e-03,6.386600000000000089e-03,6.568899999999999913e-03,1.282250000000000056e-02
1.000000000000000000e+03,3.116299999999999799e-03,8.837100000000000510e-03,1.243529999999999983e-02,1.741950000000000096e-02
2.000000000000000000e+03,6.083100000000000139e-03,1.238449999999999968e-02,2.657699999999999993e-02,2.586640000000000120e-02
5.000000000000000000e+03,1.554409999999999993e-02,1.961169999999999927e-02,6.438860000000000416e-02,3.587200000000000111e-02
1.000000000000000000e+04,2.984030000000000016e-02,2.671739999999999879e-02,1.336023000000000072e-01,4.905360000000000276e-02
2.000000000000000000e+04,5.801970000000000044e-02,3.721100000000000102e-02,2.457981999999999945e-01,6.343429999999999902e-02
5.000000000000000000e+04,1.326015000000000110e-01,4.885849999999999915e-02,5.539574000000000442e-01,9.504869999999999985e-02
1.000000000000000000e+05,2.301632000000000122e-01,6.478739999999999499e-02,1.003299799999999964e+00,1.230341999999999963e-01
2.000000000000000000e+05,3.652092000000000116e-01,7.958279999999999521e-02,1.651202199999999953e+00,1.361265000000000114e-01
5.000000000000000000e+05,5.405695999999999835e-01,9.547719999999999818e-02,2.620845200000000208e+00,1.480964999999999920e-01
1.000000000000000000e+06,6.439890999999999810e-01,1.053324000000000066e-01,3.258697699999999919e+00,1.492215000000000069e-01
